"Part No.","Part description","Group number","Group name","In stock","Available","Expected, available","Reorder point","Vendor number","Vendor name","Vendor part no.","Lead time","Price per UoM","Subtotal","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"VLPA-037","8mm to 8mm hose joiner Steel","AG00005.2","Air System",0,0,0,20,,,,,,,,,0,,,,"'-","'-",,
"VLPA-019","8mm to 8mm tap/valve plastic fitting","AG00005.2","Air System",0,0,0,20,"V00006","www.kaiyuanpneumatic.com","HVFF-08",0,0,0,,,0,,,,"Ningbo Smart Pneumatic","'-",,
"VLPE-009","9 pin plug chassis rectangle for pendant","AG00005.3","Electrical",0,0,0,10,,,,,,,,,"$1.95","altronics",,"P3010",,"'-",,
"VLPA-069","90deg Brass Male-Male 1/4 BSP","AG00005.2","Air System",0,0,0,10,,,,,,,,,0,,,,"'-","'-",,
"VLPE-025","9pin plug line rectangle pendant cord w/proof","AG00005.3","Electrical",0,0,0,20,,,,,,,,,"$9.69","Altronics",,"P9656",,"'-",,
"VLPA-056","Air hose Clear 8mm","AG00005.2","Air System",0,-10,0,50,"V00014","'-","'-",0,0.3,18,,,".30c perM",,,,"Ningbo Smart Pneumatic","'-",,
"VLPA-180","Air hose DARK BLUE 8mm","AG00005.2","Air System",40,40,0,50,"V00060","NINGBO KEPLER AUTOMATION CO., LTD (NINGBO SHIMAOTONG INTERNATIONAL","PU8X5DB",30,0.8625,8.625,,,".30c perM",,,,"Ningbo Smart Pneumatic","'-",,
"VLPA-055","Air hose Green 8mm","AG00005.2","Air System",0,-10,0,50,"V00014","'-","'-",0,0.3,18,,,".30c perM",,,,"Ningbo Smart Pneumatic","'-",,
"VLPA-054","Air hose Orange 8mm","AG00005.2","Air System",0,0,0,50,"V00014","'-","'-",0,0.3,15,,,".30c perM",,,,"Ningbo Smart Pneumatic","'-",,
"VLPA-027","Air tank (large) 100x160mm","AG00005.2","Air System",0,0,0,10,"V00024","BWE","'-",0,0,0,,,0,,,,"'-","'-",,
"VLPA-028","Air tank (small) 100x35mm","AG00005.2","Air System",0,0,0,2,"V00024","BWE","'-",0,0,0,,,0,,,,"'-","'-",,
"VLPH-005","Auto check valve for cylinder 53512","AG00005.1","Hydraulic",0,0,0,2,"V00035","Qingdao Wantong Hyd Pwr",,0,43,86,,,"$43",,,,"'-","'-",,
"VLPE-021","Battery Charger 110VAC 12V 8A (USA Plug)","AG00005.3","Electrical",0,0,0,2,"V00031","Ultipower","EPA150-12",0,60,120,,,"$60",,,,"www.ivcharger.com.cn","'-",,
"PPBE-012","BATTERY UNIT LIFEP04 LITHIUM IRON PHOSP","AG00005.3","Electrical",0,0,0,5,"V00294","Electus Distribution",,15,1,5,,,,,,,,,,
"VLPE-077","Bushing kit Auspicious pendant","AG00005.3","Electrical",0,0,0,50,"V00015","Auspicious Elec Eng",34411,0,3.37,168.5,,,"$3.37",,,,"'-","'-",,
