"Number","Part No.","Part description","Free text","Vendor part no.","Group number","Group name","Quantity","Lot","Total","Tax","Total including tax","Unit cost","Currency","Total (in currency)","Tax (in currency)","Total including tax (in currency)","Unit cost (in currency)","Status","Product status","Created by","Created","Expected date","Arrival date","Order ID","Order date","Invoice ID","Invoice date","Due date","Shipped on","Delay","Vendor number","Vendor name","PO free text","B.W.E. Job ID","PO Emailed","Attention","NOTES","ACCOUNT","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"PO00043","A0000390","2438X1219-10MM 304L NO. 1 PLATE",,"PL04N11001224","AG00004","Blue Water Engineering",1,"L00202",1061,106.1,1167.1,1061,"$",1061,106.1,1167.1,1061,"Received","Received","Admin","21/07/2025","21/07/2025","18/07/2025",,"11/07/2025",2235558,"17/07/2025","30/08/2025","18/07/2025",0,"V00245","MIDWAY METALS",,"STOCK","Y","DAVID C",,"Y",,,1061.00,"MIDWAY METALS",,,,,,
"PO00043","A0000391","PLC25250 320MM X 515MM X 25MM TK 4003 ACS",,"PLC25250","AG00004","Blue Water Engineering",1,"L00203",660,66,726,660,"$",660,66,726,660,"Received","Received","Admin","21/07/2025","21/07/2025","18/07/2025",,"11/07/2025",2235558,"17/07/2025","30/08/2025","18/07/2025",0,"V00245","MIDWAY METALS",,"STOCK","Y","DAVID C",,"Y",,,660.00,"MIDWAY METALS",,,,,,
"PO00042","Lmm-600","Black 250g Etching Paint","PAINTING OF 1 X REDUCTION LINE 3 STANDS CLAMP ALIGNMENT ASSEMBELY FRAME AS REQUESTED
USING WATTYL EPINAMEL 2PACK ADHESION PROMOTING, POLYANIDE CURED PROXY PRIMER & WATTYL EPINAMEL DTM985 2 PAC EPOXY COATING PAINT",,"AG00001","Paint, Coatings & Plating",1,"L00201",1440,144,1584,1440,"AUD",1440,144,1584,1440,"Received","Received","Admin","21/07/2025","21/07/2025","29/08/2025",,"18/06/2025",20250762,"18/06/2025","29/08/2025",,39,"V00145","CUSTOM TRUCK BODIES AND TRAILERS","FOR BOYNE SMELTERS LIMITED",,,,,,,,295.00,"ROWMARK",,,,,,
"PO00041","6mm DYNEEMA SK75 WITH POLYESTER COVER SOFT EYES EACH END - 3160MM","6mm DYNEEMA SK75 WITH POLYESTER COVER SOFT EYES EACH END - 3160MM",,,"AG00004.1","Vaclift",1,"L00196",1,0.1,1.1,1,"$",1,0.1,1.1,1,"Received","Received","David C","18/07/2025","18/07/2025","22/07/2025",,"18/07/2025",,,,,4,"V00043","MELBOURNE ROPE AND SPLICING","FOR STOCK",,,,,,,,,,,,,,,
"PO00041","6mm DYNEEMA SK75 WITH POLYESTER COVER SOFT EYES EACH END 0 5060MM","6mm DYNEEMA SK75 WITH POLYESTER COVER SOFT EYES EACH END 0 5060MM",,,"AG00004.1","Vaclift",2,"L00197",2,0.2,2.2,1,"$",2,0.2,2.2,1,"Received","Received","David C","18/07/2025","18/07/2025","22/07/2025",,"18/07/2025",,,,,4,"V00043","MELBOURNE ROPE AND SPLICING","FOR STOCK",,,,,,,,,,,,,,,
"PO00040","VLPE-004","Compressor 12V 8A 35L/min",,,"AG00005.3","Electrical",3,"L00193",810.33,81.03,891.36,270.11,"AUD",810.33,81.03,891.36,270.11,"Received","Received","Admin","17/07/2025","17/07/2025","17/07/2025",,"17/07/2025","503-2644122-2903864","17/07/2025","18/07/2025",,0,"V00268","AMAZON","ANNA PAID ON HER CREDIT CARD",,,,,,,,"$88.00","maisigroup.com","$230.00","GZ35 -12V",,"'-",,
"PO00039","A0000334","590-4011 FOXX BLADE PINK SEMI-SYNTHETIC COOLANT (PINK) - 20LTR DRUM",,"590-4011","AG00062","MACHINE SHOP TOOLING AND CONSUMERABLES",1,"L00174",176.76,17.68,194.44,176.76,"AUD",176.76,17.68,194.44,176.76,"Received","Received","Admin","16/07/2025","16/07/2025","16/08/2025",,"15/07/2025","INV021502","15/07/2025","30/08/2025","15/07/2025",31,"V00297","ENGINEERING TOOLING SUPPLIES PTY LTD",,0,,"DAVID C",,,,,176.76,,,,,,,
"PO00038","A00141","FREIGHT INWARD","FREIGHT","1DELST","AG00011","FREIGHT INWARD",1,"L00195",18.75,1.88,20.63,18.75,"$",18.75,1.88,20.63,18.75,"Received","Received","David C","16/07/2025","18/07/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,5,"V00294","Electus Distribution",,,,,,,,,,,,,,,,
"PO00038","PBPE-006","Electrical Enclosure Dark Grey with Mounting Flange - 115(W) x 90(D) x 55(H)mm",,"HB6127","AG00004.2","PipeBOSS",6,"L00191",76.08,7.61,83.69,12.68,"$",76.08,7.61,83.69,12.68,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,,,,,,,,
"PO00038","PBPE-007","Terminal Barrier Panel with Clear Cover 6 Way",,"HM3168","AG00004.2","PipeBOSS",12,"L00192",50.28,5.03,55.31,4.19,"$",50.28,5.03,55.31,4.19,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,,,,,,,,
"PO00038","VLPE-026","Buzzer (large) front panel",,"AB3464","AG00005.3","Electrical",10,"L00169",86.7,8.67,95.37,8.67,"$",86.7,8.67,95.37,8.67,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,"$8.67","Electus",,"AB3464","www.altronics.com.au","'-","S6119A",
"PO00038","VLPE-047","2pin line plug female (red/green lights)",,"PS2014","AG00005.3","Electrical",10,"L00172",27.2,2.72,29.92,2.72,"$",27.2,2.72,29.92,2.72,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,"$2.30",,,,"Jaycar","'-",,
"PO00038","VLPE-063","4pin chassis mount plug male (Hydraulic)",,"PP2010","AG00005.3","Electrical",5,"L00170",14.3,1.43,15.73,2.86,"$",14.3,1.43,15.73,2.86,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,3.50,"Electus Distribution",,"PP2010","www.altronics.com.au","'-",,
"PO00038","VLPE-064","4pin line plug female (hydraulic)",,"PS2012","AG00005.3","Electrical",5,"L00171",15.2,1.52,16.72,3.04,"$",15.2,1.52,16.72,3.04,"Received","Received","David C","16/07/2025","18/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,"$2.99",,,,"www.altronics.com.au","'-",,
"PO00038","VLPE-080","Socket IC 8pin for Battery Indicator",,"PI6500","AG00005.3","Electrical",12,"L00182",3.24,0.32,3.56,0.27,"$",3.24,0.32,3.56,0.27,"Received","Received","David C","16/07/2025","28/08/2025","23/07/2025",,"17/07/2025","SF269913","17/07/2025","18/07/2025",,0,"V00294","Electus Distribution",,,,,,,,,".38c",,,,"www.altronics.com.au","'-",,
